,game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
5897,171803090978,1718,2018-03-09,HOU,105,TOR,108,1,0.5631188118811882,0.26732673267326734,0.19774999999999998,0.11178415149141077,0.5452218430034129,0.19908987485779292,0.21195,0.10667716650794813
5898,171803090979,1718,2018-03-09,UTA,95,MEM,78,0,0.5368004866180048,0.21411192214111924,0.2238,0.13406585164629117,0.49430796884361894,0.18993409227082084,0.23185,0.15200088436878179
5899,171803090980,1718,2018-03-09,NYK,112,MIL,120,1,0.49858836815358565,0.1660079051383399,0.226,0.12546485178900244,0.5191605839416058,0.23114355231143552,0.21625,0.12868683073454817
5900,171803090981,1718,2018-03-09,WAS,116,NOP,97,0,0.5342105263157895,0.19005847953216373,0.25535,0.13343394559575955,0.5296610169491525,0.1726694915254237,0.18885,0.11373353856678639
5901,171803090982,1718,2018-03-09,LAL,116,DEN,125,1,0.5423250564334087,0.1879232505643341,0.23805000000000004,0.1226448631354426,0.5596198156682028,0.1970046082949309,0.23505000000000004,0.1270740296990161
5902,171803090983,1718,2018-03-09,GSW,108,POR,125,1,0.588340273646639,0.20523497917906008,0.20105000000000003,0.1434832037553176,0.5207373271889401,0.20910138248847926,0.2218,0.11615782830592496
5903,171803090984,1718,2018-03-09,ORL,88,SAC,94,1,0.5381840048105833,0.19603126879134095,0.19555,0.12930467001448212,0.5148960089938168,0.1253513209668353,0.21205000000000002,0.11350315389911243
5904,171803090985,1718,2018-03-09,CLE,102,LAC,116,1,0.5527389277389279,0.1963869463869464,0.18185000000000004,0.11952264494419212,0.5368876080691642,0.22939481268011525,0.21165000000000003,0.12312853548421636
5905,171803100986,1718,2018-03-10,PHO,115,CHO,122,1,0.48284589426321706,0.18053993250843645,0.2023,0.12517914329694438,0.5184971098265896,0.223121387283237,0.2145,0.10254005039636557
5906,171803100987,1718,2018-03-10,WAS,102,MIA,129,1,0.5307424593967517,0.18329466357308585,0.2551,0.13236964567073392,0.5062929061784897,0.17734553775743706,0.25215,0.12038231606490651
5907,171803100988,1718,2018-03-10,MEM,80,DAL,114,1,0.4877245508982036,0.18682634730538922,0.23075,0.15238288155568652,0.5054691997697179,0.16637881404720783,0.1985,0.1122287417341902
