,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred
10165,212201170647,2122,2022-01-17,CHO,97,NYK,87,0,1515.407421391766,1530.0737951073986,1520.7345404296639,1506.0681667140313,1
10166,212201170648,2122,2022-01-17,PHI,98,WAS,117,1,1612.4333538323397,1593.6763339998524,1463.4508588560889,1482.207878688576,0
10167,212201170649,2122,2022-01-17,BRK,107,CLE,114,1,1542.7118715997508,1538.5416772805445,1606.5014348676746,1610.6716291868809,1
10168,212201170650,2122,2022-01-17,IND,133,LAC,139,1,1448.3702973088987,1443.4883852607668,1460.5187095467197,1465.4006215948516,1
10169,212201170651,2122,2022-01-17,CHI,106,MEM,119,1,1523.208475463611,1517.375376597202,1595.2878021706192,1601.1209010370283,1
10170,212201170652,2122,2022-01-17,MIL,114,ATL,121,1,1572.3523703555054,1563.1042334578965,1445.8877876978231,1455.135924595432,0
10171,212201170653,2122,2022-01-17,POR,98,ORL,88,0,1431.3780182049538,1440.80539167666,1305.9442661325838,1296.5168926608776,0
10172,212201170654,2122,2022-01-17,TOR,99,MIA,104,1,1534.869815939491,1531.4627914139492,1603.5120517337027,1606.9190762592445,1
10173,212201170655,2122,2022-01-17,OKC,102,DAL,104,1,1352.7594559817956,1351.871127968428,1602.7580585171604,1603.646386530528,1
10174,212201170656,2122,2022-01-17,PHO,121,SAS,107,0,1677.686856789493,1686.1377740759192,1474.4564922529214,1466.0055749664953,0
10175,212201170657,2122,2022-01-17,UTA,95,LAL,101,1,1638.645363824361,1628.568521291271,1460.3752397405112,1470.4520822736013,0
10176,212201180658,2122,2022-01-18,MIN,112,NYK,110,0,1536.3235649089538,1542.454649030408,1506.0681667140313,1499.937082592577,0
10177,212201180659,2122,2022-01-18,DET,86,GSW,102,1,1341.3074595277049,1339.4191277287798,1645.6124650723962,1647.5007968713212,1
10178,212201190660,2122,2022-01-19,ORL,110,PHI,123,1,1296.5168926608776,1294.8009712168446,1593.6763339998524,1595.3922554438855,1
10179,212201190661,2122,2022-01-19,BRK,119,WAS,118,0,1538.5416772805445,1543.2535220200361,1482.207878688576,1477.4960339490844,0
10180,212201190662,2122,2022-01-19,MIN,122,ATL,134,1,1542.454649030408,1531.3555635153932,1455.135924595432,1466.2350101104469,0
10181,212201190663,2122,2022-01-19,CHO,111,BOS,102,0,1530.0737951073986,1544.5572496149096,1553.501639331164,1539.018184823653,1
10182,212201190664,2122,2022-01-19,POR,92,MIA,104,1,1440.80539167666,1437.3953817697773,1606.9190762592445,1610.3290861661274,1
10183,212201190665,2122,2022-01-19,CLE,104,CHI,117,1,1610.6716291868809,1598.7193341864834,1517.375376597202,1529.3276715975994,0
10184,212201190666,2122,2022-01-19,MEM,114,MIL,126,1,1601.1209010370283,1591.991560796212,1563.1042334578965,1572.2335736987127,0
10185,212201190667,2122,2022-01-19,TOR,98,DAL,102,1,1531.4627914139492,1528.453530496826,1603.646386530528,1606.655647447651,1
10186,212201190668,2122,2022-01-19,OKC,96,SAS,118,1,1351.871127968428,1345.122530107577,1466.0055749664953,1472.7541728273463,1
10187,212201190669,2122,2022-01-19,HOU,116,UTA,111,0,1318.8839307832607,1338.0115902228968,1628.568521291271,1609.440861851635,1
10188,212201190670,2122,2022-01-19,LAC,128,DEN,130,1,1465.4006215948516,1463.1422224791006,1541.2200206890789,1543.4784198048299,1
